Business_ID,Cuisine_Type,Name,Address,Coordinates,Number_of_Reviews,Rating,Zipcode
NiMLFWCL65B_YFUAW3yo_Q,Korean,korean-food-cart-manhattan,"49TH And 6th Ave, Manhattan, NY 10020","(40.7592712341372, -73.9808887692688)",2,4,10020
GruO4BzCMQviHdY-2D4QYA,Korean,joes-kitchen-bayonne,"637 Broadway, Bayonne, NJ 07002","(40.669, -74.11435)",44,4.5,7002
-pab00ajP_NS1KGfILveYA,Korean,marumi-new-york,"546 Laguardia Pl, New York, NY 10012","(40.7289699, -73.99837)",392,4,10012
pcI3gJ5BmWl_FMinQBO-IQ,Korean,mk-karaoke-new-york,"11 W 32nd St, Fl 5, New York, NY 10001","(40.74761, -73.98631)",153,4,10001
i9W3EVA6FjB6lWWSEmhndA,Korean,sake-bar-decibel-new-york,"240 E 9th St, New York, NY 10003","(40.729263, -73.987792)",934,4,10003
ZFZB7lPBvee_wGYAd0hO0g,Korean,moms-kitchen-east-rutherford,"128 Park Ave, East Rutherford, NJ 07073","(40.83251, -74.09694)",1,5,7073
BPErPpKSNluwcjbKRgze3w,Korean,xian-famous-foods-new-york-38,"328 E 78th St, New York, NY 10075","(40.77197, -73.95452)",459,4,10075
kZXeX78DXMAVKqBUpNiV-g,Korean,prime-and-beyond-fort-lee,"501 Main St, Fort Lee, NJ 07024","(40.856, -73.97793)",265,4,7024
zuiEL6WWZ0OXGS5whWfqGA,Korean,sushi-seki-new-york-5,"1143 1st Ave, New York, NY 10021","(40.761982, -73.960617)",459,4,10021
tObU6_Ey12p-lgVUxxqZeA,Korean,kimchi-bowl-new-york,"New York, NY 10001","(40.7492790222168, -73.9925918579102)",4,3,10001
NzcI2h7qA-_edSaw0Jta4A,Korean,japas-38-new-york,"9 E 38th St, New York, NY 10016","(40.7508277893066, -73.9815673828125)",264,3.5,10016
Rwtv0CMqLOmpw0iWzTOF2A,Korean,phobu-fort-lee,"1645 Lemoine Ave, Fort Lee, NJ 07024","(40.85029, -73.97076)",259,3.5,7024
iaQjkyEdahCPLyzGJSAxaw,Korean,bomul-island-palisades-park-3,"268 Broad Ave, Palisades Park, NJ 07650","(40.84771, -73.99769)",11,3.5,7650
cSW_rndHfX4rYAZ8DZ8W3g,Korean,don-chicken-palisades-park,"232 Broad Ave, Palisades Park, NJ 07650","(40.84629, -73.99845)",71,3.5,7650
oEZgjH40y-3SVYSD9tnUkQ,Korean,tabata-ramen-2-new-york-2,"557 8th Ave, New York, NY 10018","(40.75475, -73.992)",280,3.5,10018
IS94JDTcq_WedBcj6P4qpQ,Korean,sushi-on-jones-new-york-3,"210 W 10th St, New York, NY 10014","(40.73399, -74.00418)",115,4,10014
6BZl-fakfZsFbAwJM7DeDA,Korean,choiga-naeng-myun-palisades-park,"110 Broad Ave, Ste S9, Palisades Park, NJ 07650","(40.84431, -74.0)",58,3.5,7650
rn6SmSqAYx2kLFIAxytMMQ,Korean,kajitsu-new-york-3,"125 E 39th St, New York, NY 10016","(40.7498614, -73.9777215)",212,4,10016
i8ejDDR4COtukAAA1Ls5fw,Korean,soba-ya-new-york,"229 E 9th St, New York, NY 10003","(40.7296485900879, -73.9878845214844)",1404,4,10003
i8F0fnempD5fTb2CxbwKDw,Korean,izakaya-new-york-2,"326 E 6th St, New York, NY 10003","(40.72667, -73.98738)",235,4,10003
bnDfFdiCcPzhuNWUJORvLQ,Korean,noodle-village-new-york,"13 Mott St, New York, NY 10013","(40.714167, -73.998803)",948,4,10013
4UXwPdVdaMJx1xWNNBlWNQ,Korean,katsune-donkatsu-cafe-fort-lee,"1400 Anderson Ave, Ste 3, Fort Lee, NJ 07024","(40.84542, -73.97846)",28,4.5,7024
P2XxT0vLZMh0zaiqgrywFw,Korean,northern-king-dumpling-wang-mandu-flushing,"149-44 Northern Blvd, Flushing, NY 11354","(40.76514, -73.8155436)",49,4.5,11354
nI1UYDCYUTt23TpGxqnLKg,Korean,buddakan-new-york,"75 9th Ave, New York, NY 10011","(40.7422762672197, -74.0048000961542)",3735,4,10011
L0CK1zBZe5IaAkRNyJ0-QQ,Korean,gaji-gaji-flushing,"34-12 Union St, Flushing, NY 11354","(40.76652, -73.82787)",21,4,11354
2YkqGzOldh-gcSSFkvP44Q,Korean,mighty-bowl-new-york-2,"120 Macdougal St, New York, NY 10012","(40.72986, -74.00049)",227,4,10012
8y8_xwiaBtCVYA4Jjx-5AQ,Korean,pokéb_b-brooklyn-2,"209 Bedford Ave, Brooklyn, NY 11211","(40.71683, -73.95866)",144,4.5,11211
SADgJu4JGOIxhWmfYSaHUg,Korean,raku-izakaya-fort-lee,"209 Main St, Fort Lee, NJ 07024","(40.85143, -73.97049)",202,4,7024
ba-MPbYnM6T30RNgPdUvtQ,Korean,shanghai-red-asian-latin-bistro-bronx-2,"127 Westchester Square, Bronx, NY 10461","(40.8406328, -73.8420053)",9,4,10461
kr_Wu5m0P-AEghraNqXeTA,Korean,ikinari-steak-east-village-new-york,"90 E 10th St, New York, NY 10003","(40.73088, -73.98968)",715,4,10003
1-7C5Kv8B8PiIbfL3_uHlw,Korean,restaurant-riki-new-york,"141 E 45th St, New York, NY 10017","(40.7532844543457, -73.9738540649414)",343,3.5,10017
eQKYZWnBjPUjINAnFmrmbA,Korean,p-f-changs-west-new-york-2,"10 Port Imperial Blvd, West New York, NJ 07093","(40.7802677928232, -74.0095958081818)",409,3,7093
WKNYnneR39n_gb7hgApauA,Korean,k-town-food-court-bayside,"46-40 Francis Lewis Blvd, Bayside, NY 11361","(40.7535322693241, -73.7811672067863)",37,4,11361
LsITU8KVYMhV_fatv84wWA,Korean,mighty-quinns-barbeque-new-york,"103 2nd Ave, New York, NY 10003","(40.727574, -73.988623)",1695,4,10003
XtuJ1t5EI1QHxs7rZOPytA,Korean,hanok-new-york,"11 W 32nd St, New York, NY 10001","(40.747682, -73.986108)",52,2.5,10001
W4kEumlnaIvOEKaRYMjJSA,Korean,shinjung-galbi-flushing,"16013 Northern Blvd, Flushing, NY 11358","(40.762622833252, -73.8047103881836)",34,3,11358
d3Q88RPEQT3MUbCL-wjP6Q,Korean,radio-star-karaoke-new-york,"3 W 35th St, New York, NY 10001","(40.7496215, -73.9849205)",312,4,10001
_kn3p-KCmNtI1vRqEffY6g,Korean,jax-bbq-new-york,"496 9th Ave, New York, NY 10018","(40.7556200243139, -73.994450122118)",91,3.5,10018
87C1A7TyutLNCZxBPCdWsQ,Korean,cafe-hestia-new-york-3,"513 7th Ave, New York, NY 10018","(40.753127852035, -73.988746209787)",101,3,10018
i0eopKItXSmgea6j5IZ8zA,Korean,jan-chi-ma-eul-flushing,"41-65 Bowne St, Flushing, NY 11355","(40.7577810368157, -73.822561763227)",3,4.5,11355
bHGETjP_InKy0sIVHFgHyw,Korean,sushi-of-gari-new-york,"402 E 78th St, New York, NY 10075","(40.77137, -73.95275)",600,4,10075
uaFHoq-a5XqxF-bsOK9_Qg,Korean,real-kung-fu-little-steamed-buns-ramen-new-york-2,"811 8th Ave, New York, NY 10019","(40.7616286634162, -73.9868181646996)",901,3.5,10019
z4MumU_OUun7YHOJdZEqQg,Korean,malaysia-beef-jerky-new-york,"95A Elizabeth St, New York, NY 10013","(40.718521, -73.996078)",264,4.5,10013
azGPyK3p6HDmvQGX0AyDtg,Korean,shaburo-palisades-park,"520 Bergen Blvd, Ste 2, Palisades Park, NJ 07650","(40.8480599, -73.98447)",325,4.5,7650
P_UREWCQxEYVbBa-KW_Wew,Korean,en-japanese-brasserie-new-york,"435 Hudson St, New York, NY 10014","(40.7306, -74.00698)",1209,4,10014
NQbh8zKPqILV6WeYSOM-yQ,Korean,makana-hawaiian-and-japanese-bbq-new-york,"2245 1st Ave, New York, NY 10029","(40.79568, -73.93599)",154,3.5,10029
JlFbaMbMzsu7FA307mUIqg,Korean,joju-elmhurst,"83-25 Broadway, Elmhurst, NY 11373","(40.7407051700423, -73.8793501821476)",1495,4.5,11373
PqCh5tLVds4tMOyREdXdcA,Korean,meatoss-truck-new-york,"New York, NY 10018","(40.7560539245605, -73.9962997436523)",34,4.5,10018
D7Cu8y7GxzmCpoRYxMCo1w,Korean,broadway-bites-new-york-2,"33rd & Broadway, New York, NY 10001","(40.74903, -73.98804)",214,4,10001
oFBgvlELwMtvqA0gcGr96g,Korean,yong-kang-street-new-york-2,"1000 8th Ave, New York, NY 10019","(40.767124, -73.983013)",63,3.5,10019
MvmuCDXPliFUYJ7B7Y02AA,Korean,menkui-tei-new-york-3,"58 W 56th St, New York, NY 10019","(40.76326, -73.97706)",1028,3.5,10019
3Jr_9I2ouYHDNk8XWKdZ3w,Korean,sasabune-new-york,"401 E 73rd St, New York, NY 10021","(40.76846, -73.95515)",379,4,10021
j9tAoiEsgSS85QV04pY3lQ,Korean,kimchi-taco-new-york-2,"New York, NY 10281","(40.7112121582031, -74.0148391723633)",223,3,10281
